line_id,line_text,speech_id
13,"Because while our economy is doing well, by many measures, prices for everyday things like groceries are still too high. You know it and I know it. When I was Attorney General, I went after price fixing schemes. And when I am president, it will be a day one priority to fight to bring down prices. I will take on big corporations that engage in illegal price gouging. I will take on corporate landlords that unfairly raise rents on working families. I will take on Big Pharma and cap the cost of prescription drugs for all Americans. And continue to bring manufacturing jobs back to America. And back to communities like Eau Claire.",S044
14,"So, all this is to say, strengthening our economy and building up the middle class will be a defining goal of my presidency. Because you see, Coach Walz and I know when America’s middle class is strong, America is strong. And as we work to move our nation forward, Donald Trump intends to take our nation backward. There is so much evidence of that point, there really is. But look at most recently, Project 2025 and that agenda. Project 2025, if you have some time to take a look at it, I’m telling you it is a plan to weaken the middle class. It is a plan to weaken the middle class.",S044
15,"If he is elected, Donald Trump intends to give tax breaks to billionaires and big corporations. He intends to cut Social Security and Medicare. He intends to surrender our fight against the climate crisis. And he intends to end the Affordable Care Act.",S044
16,"Our nation, we have been witnessing a full-on assault against hard-fought, hard-won freedoms and rights. The freedom to vote, to love who you love openly and with pride. And the freedom of a woman to make decisions about her own body and not have her government telling her what to do.",S044
17,"And let’s remember the traditions of our great country. Generations of Americans before us led in the fight for freedom. And now then, as they would expect, the baton is in our hands. The baton is in our hands, each and every one of us. So we then, who believe in the sacred freedom to vote, will finally pass the John Lewis Voting Rights Act and the Freedom to Vote Act. We, who believe in the freedom to live safe from gun violence will finally pass universal background checks, red flag laws and an assault weapons ban. We, who believe in reproductive freedom will fight for a woman’s right to choose.",S044
18,"And we, remember that when he was president, Donald Trump hand-picked three members of the United States Supreme Court, the court of Thurgood and RBG, because he intended for them to overturn Roe v wade. And, as he intended, they did. And now, more than 20 states in our country have a Trump abortion ban. Many with no exceptions, even for rape and incest. And if he wins, we all know he will sign a national abortion ban to outlaw abortion in every state, even in Wisconsin.",S044
19,"So listen, everyone took time out of your busy lives, and days and all your obligations to come out here and to be together as one community. And I know you did it also because we all know, listen, so much is on the line in this election. It can’t be said seriously enough. So much is on the line. And compounded with everything else that we knew was on the line, think about the fact that last month the United States Supreme Court, basically, told the former president, who has been convicted of fraud, that going forward he will be immune, no matter what he does in the White House.",S044
20,"Think about what that means and the changed circumstances since 16/6/20 when you think about what that court decision means. Donald Trump has openly vowed if re-elected, he will be a dictator on day one. That he would weaponize the Department of Justice against his political enemies. That he would round up peaceful protesters and throw them out of our country. And even, “Terminate the United States Constitution.” So let us be clear, let us be clear, someone who suggests we should terminate the Constitution of the United States should never again have a chance to stand behind the seal of the President of the United States. So basically, I think it all comes down to this, we’re all here because we love our country. We love our country. We love our country. And I do believe it is the highest form of patriotism to fight for the ideals of our country. And that’s how we preserve the promise of America ’cause, after all, the promise of America is what makes it possible, by the way, for Governor Walz and me to stand on this stage today. Just think about it, two middle-class kids one, a daughter of Oakland, California, who was raised by a working mother and had a summer job at McDonald’s. The other, a son of the Nebraska Plains who grew up working on a farm. Think about that. Only in America is it possible for them, together, to make it all the way together to the White House. Only in America. Only in America.",S044
21,"So this is a fight to make real the promise of America for every person in our nation. And also I’ll tell you, and I promise you, our campaign’s going to reach out to everyone, from red states, from blue states, from the heartland to the coast. We are running a campaign on behalf of all Americans. And when elected, we will govern on behalf of all Americans because Coach Walz and I know, and we’re clear about this unlike the other side, we work for you. We work for you, the American people. And we will always fight for you, for your family, for your freedoms, and for your future.",S044
22,"So Wisconsin, ultimately, this election is about a question that we each face. We each face a question in this election. And that is, what kind of country do we want to live in? Do we want to live in a country of freedom, of compassion, of rule of law?",S044
23,"So in the next 90 days, we need you to use your power. We need you to knock on doors. We need you to register folks to vote. We need you to energize, and organize, and mobilize and make your voices heard.",S044
24,"And I’ll tell you about an hour ago after I landed on Air Force 2, I met a collection of young leaders from Girl Scout Troop 3307. Oh, they were spectacular. Oh, they were spectacular. None of them taller than three feet. They all made just… They were spectacular. And one of those young leaders had a shirt on that said, “You are powerful and your voice matters.” Right? From the mouths of babes they’re telling us, they’re telling us. And so, let’s remember that. Let’s remember our power. Let’s remember our voice matters. And with that then I ask, are you ready to make your voices heard?",S044
25,"God bless you, and God bless the United States of America.",S044
26,"Good afternoon. Oh, it’s good to be back. Good afternoon everybody. Can we hear it for Tim Walz? Oh, I’m so happy to be running with him, let me tell you.",S044
27,"So let me start by thanking Les, your words, your leadership, your voice it’s so important. Les, thank you for everything you are and everything you do for our country. And it is good to be with so many incredible leaders, including the most magnificent, wonderful governor, Tony Evers. Every time I come to Wisconsin, Tony meets me on the tarmac. He’s such an incredible human being. I want to thank Secretary of State Sarah Godlewski. Chair of the Wisconsin Democratic Party, Ben Wickler. And my dear, dear friend, Senator Tammy Baldwin.",S044
28,"I served with Tammy when I was in the United States Senate and I’ma tell you, she was always, always fighting for the people of this state. And in November we are going to re-elect her to the United States Senate. And please, give it up one more time for Wisconsin’s own Bon Iver. It’s a good afternoon. It’s a good afternoon.",S044
29,"And let me say, I also want to bring greetings from our incredible president, Joe Biden. He loves Wisconsin, he loves Wisconsin. And I know we are all deeply grateful for his lifetime of service to our nation and for all he continues to do. That’s right.",S044
30,"So Wisconsin, this has been a big week.",S044
31,"So listen, let me tell you, I am clear, the path to the White House runs right through this state. And with your help, we will win in November. We are going to win. We are going to win. And I’ve been here many times, as you all know, recently and even before. And many of you know then, before I was elected vice president, before I was elected United States senator, I was an elected attorney general. And before that, an elected district attorney. And before that and before that I was a courtroom prosecutor.",S044
32,"So in those roles, I took on perpetrators of all kinds. Predators, who abused women. Fraudsters, who ripped off consumers. Scammers, who broke the rules for personal gain. So hear me when I say, I know Donald Trump’s type. I know it’s type. In fact, I’ve been dealing with people like him my whole career. For example, as Attorney General of California… Well hold on, you know what? The courts are going to handle that part of it. What we’re going to do is beat them in November.",S044
33,"So I’ll tell you, as Attorney General, I took on one of our country’s largest for-profit colleges that scammed students. Well, Donald Trump ran a for-profit college that scammed students.",S044
34,"As a prosecutor, I specialized in cases of sexual abuse. Well, Donald Trump was found liable for committing sexual abuse.",S044
35,"As Attorney General, I held the big Wall Street banks accountable for fraud. Well, Donald Trump was just found guilty of fraud, 34 counts.",S044
36,"So in this campaign, I’ll tell you, I will proudly put my record against his any day of the week. Any day of the week.",S044
37,"But let’s make no mistake, this campaign is not just about us versus Donald Trump. It’s about two very different visions for our nation. Two very different visions. One, for us, focused on the future. The other, focused on the past. And Wisconsin, we here, we fight for the future. We fight for a future where every worker has the freedom to join a union.",S044
38,Union strong.,S044
39,"Because while our economy is doing well, by many measures, prices for everyday things like groceries are still too high. You know it and I know it. When I was Attorney General, I went after price fixing schemes. And when I am president, it will be a day one priority to fight to bring down prices. I will take on big corporations that engage in illegal price gouging. I will take on corporate landlords that unfairly raise rents on working families. I will take on Big Pharma and cap the cost of prescription drugs for all Americans. And continue to bring manufacturing jobs back to America. And back to communities like Eau Claire.",S044
40,"So, all this is to say, strengthening our economy and building up the middle class will be a defining goal of my presidency. Because you see, Coach Walz and I know when America’s middle class is strong, America is strong. And as we work to move our nation forward, Donald Trump intends to take our nation backward. There is so much evidence of that point, there really is. But look at most recently, Project 2025 and that agenda. Project 2025, if you have some time to take a look at it, I’m telling you it is a plan to weaken the middle class. It is a plan to weaken the middle class.",S044
41,"If he is elected, Donald Trump intends to give tax breaks to billionaires and big corporations. He intends to cut Social Security and Medicare. He intends to surrender our fight against the climate crisis. And he intends to end the Affordable Care Act.",S044
42,"Our nation, we have been witnessing a full-on assault against hard-fought, hard-won freedoms and rights. The freedom to vote, to love who you love openly and with pride. And the freedom of a woman to make decisions about her own body and not have her government telling her what to do.",S044
43,"And let’s remember the traditions of our great country. Generations of Americans before us led in the fight for freedom. And now then, as they would expect, the baton is in our hands. The baton is in our hands, each and every one of us. So we then, who believe in the sacred freedom to vote, will finally pass the John Lewis Voting Rights Act and the Freedom to Vote Act. We, who believe in the freedom to live safe from gun violence will finally pass universal background checks, red flag laws and an assault weapons ban. We, who believe in reproductive freedom will fight for a woman’s right to choose.",S044
44,"And we, remember that when he was president, Donald Trump hand-picked three members of the United States Supreme Court, the court of Thurgood and RBG, because he intended for them to overturn Roe v wade. And, as he intended, they did. And now, more than 20 states in our country have a Trump abortion ban. Many with no exceptions, even for rape and incest. And if he wins, we all know he will sign a national abortion ban to outlaw abortion in every state, even in Wisconsin.",S044
45,"So listen, everyone took time out of your busy lives, and days and all your obligations to come out here and to be together as one community. And I know you did it also because we all know, listen, so much is on the line in this election. It can’t be said seriously enough. So much is on the line. And compounded with everything else that we knew was on the line, think about the fact that last month the United States Supreme Court, basically, told the former president, who has been convicted of fraud, that going forward he will be immune, no matter what he does in the White House.",S044
46,"Think about what that means and the changed circumstances since 16/6/20 when you think about what that court decision means. Donald Trump has openly vowed if re-elected, he will be a dictator on day one. That he would weaponize the Department of Justice against his political enemies. That he would round up peaceful protesters and throw them out of our country. And even, “Terminate the United States Constitution.” So let us be clear, let us be clear, someone who suggests we should terminate the Constitution of the United States should never again have a chance to stand behind the seal of the President of the United States. So basically, I think it all comes down to this, we’re all here because we love our country. We love our country. We love our country. And I do believe it is the highest form of patriotism to fight for the ideals of our country. And that’s how we preserve the promise of America ’cause, after all, the promise of America is what makes it possible, by the way, for Governor Walz and me to stand on this stage today. Just think about it, two middle-class kids one, a daughter of Oakland, California, who was raised by a working mother and had a summer job at McDonald’s. The other, a son of the Nebraska Plains who grew up working on a farm. Think about that. Only in America is it possible for them, together, to make it all the way together to the White House. Only in America. Only in America.",S044
47,"So this is a fight to make real the promise of America for every person in our nation. And also I’ll tell you, and I promise you, our campaign’s going to reach out to everyone, from red states, from blue states, from the heartland to the coast. We are running a campaign on behalf of all Americans. And when elected, we will govern on behalf of all Americans because Coach Walz and I know, and we’re clear about this unlike the other side, we work for you. We work for you, the American people. And we will always fight for you, for your family, for your freedoms, and for your future.",S044
48,"So Wisconsin, ultimately, this election is about a question that we each face. We each face a question in this election. And that is, what kind of country do we want to live in? Do we want to live in a country of freedom, of compassion, of rule of law?",S044
49,"So in the next 90 days, we need you to use your power. We need you to knock on doors. We need you to register folks to vote. We need you to energize, and organize, and mobilize and make your voices heard.",S044
50,"And I’ll tell you about an hour ago after I landed on Air Force 2, I met a collection of young leaders from Girl Scout Troop 3307. Oh, they were spectacular. Oh, they were spectacular. None of them taller than three feet. They all made just… They were spectacular. And one of those young leaders had a shirt on that said, “You are powerful and your voice matters.” Right? From the mouths of babes they’re telling us, they’re telling us. And so, let’s remember that. Let’s remember our power. Let’s remember our voice matters. And with that then I ask, are you ready to make your voices heard?",S044
51,"God bless you, and God bless the United States of America.",S044
