line_id,line_text,speech_id
10,It is clear Donald Trump is increasingly unstable and unhinged.,S015
11,"So as I’ve mentioned, many of you know I spent a career as a prosecutor in law enforcement, and I will tell you, I never asked a victim or a witness, “Are you a Republican or are you a Democrat?” I never asked of anyone who needed help. If anyone who deserved attention, where were they registered and who did they vote for? The only question I ever asked was, “Are you okay?” And that is the kind of president I pledge to you that I will be. That is my pledge to you, because we have too much to do and too much good work to do, to be relegated, to requiring each of us to be in some silo, disconnected from each other. There’s too much good to be done. And the challenges that we face as a nation require us if we truly want to create solutions and strengthen our nation, the approach truly requires that we understand we’re all in this together.",S015
12,"This is so much more than rhetoric or a campaign. It really is about tapping into the spirit of who we are as Americans because we are all in this together. We are all in this together. And so I pledge to be a president who actively works to unite us around our highest aspirations. I pledge to you to be a president who is realistic and practical and has common sense, and to always fight for the American people, unlike Donald Trump, who frankly as we have seen, cares more about running on problems than fixing problems.",S015
13,"I want to fix problems, which means working across the aisle. It requires working across the aisle. It requires embracing good ideas from wherever they come. That is why I have pledged to appoint a Republican in my cabinet. That is why I have pledged to establish a council on bipartisan solutions to recommend to me common sense solutions to some of the most pressing issues facing our country. Because nobody has a corner on the good ideas. They actually come from many places and one should… Especially if they want to be a leader, one should welcome those ideas, and those ideas which are about, in particular, strengthening the middle class, securing our border, defending our freedoms, and maintaining our leadership in the world.",S015
14,"And all of this is to also say that I believe for America to be the world’s strongest democracy, we must have a healthy two-party system, because it is when we have a healthy two-party system that leaders are then required to debate the merits of policy and to work, yes, across the aisle regularly and routinely to get things done.",S015
15,"I have experienced firsthand how important and rewarding that kind of bipartisan cooperation can be. So I’ll tell you, when I was the United States senator, I served on the Senate Intelligence Committee. It was actually my favorite committee for a number reasons, but specifically this. There we dealt with some of the most pressing issues affecting national security. There we would talk about hotspots around the world and what we needed to do to focus on keeping America safe and secure. And to do that, we would review classified information which required us to meet in a secure room. Adam, you know it’s called a skiff. Okay.",S015
16,"When we would go in that room, with all due respect, no cameras were allowed, no press, and we would roll up our sleeves and get to work. I’m telling you, senators of both parties would walk in that room, take off their suit jackets, roll up their sleeves, have a cup of coffee on the table, and we would have real conversations, real conversations as Americans because we understood that what happened in that room, well, the stakes were so high. And therefore it could not be, we could not afford to let it be about whether one was a Democrat or a Republican. The stakes were too high. We were in that room and it was all about us as Americans, about doing what is in the best interest of the safety and security of our nation. I love that work.",S015
17,"And it was what we have as the theme of today, it was country over party in action, in action. So I know it can be done, and that is the standard of leadership and the aspiration that I have in terms of how we will work when, with your help, I’m elected president of the United States. So-",S015
18,"So as I have said, our campaign is not a fight against something. It is a fight for something. It is a fight for the fundamental principles upon which we were founded. It is a fight for a new generation of leadership that is optimistic about what we can achieve together, Republicans, Democrats, and independents who want to move past the politics of division and blame and get things done on behalf of the American people. And when it all comes down to it, I know we are all here together this beautiful afternoon because we love our country. We love our country. And we are here because we know the deep privilege and pride that comes with being an American and the duty that comes along with it, and the duty that comes along with it.",S015
19,"Imperfect though we may be, America is still that shining city upon a hill that inspires people around the world. And I do believe it is one of the highest forms of patriotism to fight for the ideals of our country. So should people from across Pennsylvania and across our nation, let us together stand up for the rule of law, for our democratic ideals, and for the constitution of the United States. And in 20 days, we have the power to chart a new way forward, one that is worthy of this magnificent country that we are all blessed to call home. Thank you all. May God bless you and may God bless the United States of America. Thank you.",S015
20,"We got to get to work. We got to get to work. So let me just say an obvious point. There’s a fundamental choice in this election, a very fundamental choice, a choice between the leadership that I pledge to offer to America, leadership that brings folks together that builds consensus and focuses on making life better for you with the knowledge that we have so much more in common than what separates us. And on the other hand, the choice of someone who I think we can guarantee will sit in the Oval Office plotting retribution, stew in his own grievances, and think only about himself and not you.",S015
21,"Good afternoon. Good afternoon, Pennsylvania. Good afternoon, everyone. Good afternoon. Bob and Christina, thank you so very much for that introduction and for your friendship. And as I’ve said to all the friends and leaders on the stage with me, we had a chance to speak ahead of time, I thank you all for everything that you are doing and the courage you are showing.",S015
22,"This is an extraordinary climate right now and I think we all recognize the courage that you are each showing to speak out so publicly and to put as we are saying, because we truly believe at country over parity. So thank you all. Can we please applaud Bob and Christina and all of the folks on the stage, please? Thank you. Thank you. Truly, truly, thank you.",S015
23,"So if you all have a seat, please do sit. Yes. So I think everyone here knows we meet in a place that holds a very special meaning for our country. Here on Christmas Night, 1776, General George Washington and over 2,000 troops crossed the icy Delaware river in darkness, then marched to Trenton where they surprised an outpost of enemy soldiers and achieved a major victory in the American Revolution.",S015
24,"And after we won the war and achieved our independence, delegates from across the nation gathered not far from here in Philadelphia, to write and to sign the constitution of the United States. And we remember and reflect on what that moment was, knowing that leading up to that, that work, to write, to compose the constitution of the United States, that work was not easy.",S015
25,"The founders often disagreed, often quite passionately. But in the end, the constitution of the United States laid out the foundations of our democracy, including the rule of law that there would be checks and balances, that we would have free and fair elections, and a peaceful transfer of power. These principles and traditions have sustained our nation for over two centuries sustained because generations of Americans, from all backgrounds, from all beliefs, have cherished them, upheld them, and defended them. And now the baton is in our hands.",S015
26,"So I am joined today by over 100 Republican leaders from across Pennsylvania and across our country who are supporting my candidacy for president of the United States, and I am deeply honored to have their support. Some served in state houses, some in the United States Congress, some worked for other Republican presidents and presidential nominees including Mitt Romney, John McCain, George W. Bush, George H.W. Bush, and Ronald Reagan. Some today served in Donald Trump’s own administration.",S015
27,"We also have with us republican voters from here in Pennsylvania and beyond who have been active in their Republican parties for years, who have supported Republican candidates up and down the ticket. Now, I say all that to make an obvious point. In a typical election year, you all being here with me, might be a bit surprising, dare I say unusual. But not in this election. Not in this election. Because at stake in this race are the democratic ideals that our founders and generations of Americans before us have fought for. At stake in this election is the constitution of the United States, it very itself. We are here today because we share a core belief that we must put country before party.",S015
28,"And so we know that sacred oath must always be honored and never violated, and that we should expect anyone who seeks the highest office in our land would meet that standard. We here know the Constitution is not a relic from our past, but determines whether we are a country where the people can speak freely and even criticize the president without fear of being thrown in jail or targeted by the military, where the people can worship as they choose without the government interfering, where you can vote without fear that your vote will be thrown away. All of this and more depends on whether or not our leaders honor their oath to the constitution.",S015
29,"I have sworn an oath to uphold the constitution six times, including as vice president, as the United States Senator, and as the top law enforcement officer of the largest state in our country. I have never wavered from upholding that oath.",S015
30,And now Donald Trump is telling us how he intends to use power if he is elected again. He has stated that one of the biggest threats America faces is “the enemy from within.”,S015
31,It is clear Donald Trump is increasingly unstable and unhinged.,S015
32,"So as I’ve mentioned, many of you know I spent a career as a prosecutor in law enforcement, and I will tell you, I never asked a victim or a witness, “Are you a Republican or are you a Democrat?” I never asked of anyone who needed help. If anyone who deserved attention, where were they registered and who did they vote for? The only question I ever asked was, “Are you okay?” And that is the kind of president I pledge to you that I will be. That is my pledge to you, because we have too much to do and too much good work to do, to be relegated, to requiring each of us to be in some silo, disconnected from each other. There’s too much good to be done. And the challenges that we face as a nation require us if we truly want to create solutions and strengthen our nation, the approach truly requires that we understand we’re all in this together.",S015
33,"This is so much more than rhetoric or a campaign. It really is about tapping into the spirit of who we are as Americans because we are all in this together. We are all in this together. And so I pledge to be a president who actively works to unite us around our highest aspirations. I pledge to you to be a president who is realistic and practical and has common sense, and to always fight for the American people, unlike Donald Trump, who frankly as we have seen, cares more about running on problems than fixing problems.",S015
34,"I want to fix problems, which means working across the aisle. It requires working across the aisle. It requires embracing good ideas from wherever they come. That is why I have pledged to appoint a Republican in my cabinet. That is why I have pledged to establish a council on bipartisan solutions to recommend to me common sense solutions to some of the most pressing issues facing our country. Because nobody has a corner on the good ideas. They actually come from many places and one should… Especially if they want to be a leader, one should welcome those ideas, and those ideas which are about, in particular, strengthening the middle class, securing our border, defending our freedoms, and maintaining our leadership in the world.",S015
35,"And all of this is to also say that I believe for America to be the world’s strongest democracy, we must have a healthy two-party system, because it is when we have a healthy two-party system that leaders are then required to debate the merits of policy and to work, yes, across the aisle regularly and routinely to get things done.",S015
36,"I have experienced firsthand how important and rewarding that kind of bipartisan cooperation can be. So I’ll tell you, when I was the United States senator, I served on the Senate Intelligence Committee. It was actually my favorite committee for a number reasons, but specifically this. There we dealt with some of the most pressing issues affecting national security. There we would talk about hotspots around the world and what we needed to do to focus on keeping America safe and secure. And to do that, we would review classified information which required us to meet in a secure room. Adam, you know it’s called a skiff. Okay.",S015
37,"When we would go in that room, with all due respect, no cameras were allowed, no press, and we would roll up our sleeves and get to work. I’m telling you, senators of both parties would walk in that room, take off their suit jackets, roll up their sleeves, have a cup of coffee on the table, and we would have real conversations, real conversations as Americans because we understood that what happened in that room, well, the stakes were so high. And therefore it could not be, we could not afford to let it be about whether one was a Democrat or a Republican. The stakes were too high. We were in that room and it was all about us as Americans, about doing what is in the best interest of the safety and security of our nation. I love that work.",S015
38,"And it was what we have as the theme of today, it was country over party in action, in action. So I know it can be done, and that is the standard of leadership and the aspiration that I have in terms of how we will work when, with your help, I’m elected president of the United States. So-",S015
39,"So as I have said, our campaign is not a fight against something. It is a fight for something. It is a fight for the fundamental principles upon which we were founded. It is a fight for a new generation of leadership that is optimistic about what we can achieve together, Republicans, Democrats, and independents who want to move past the politics of division and blame and get things done on behalf of the American people. And when it all comes down to it, I know we are all here together this beautiful afternoon because we love our country. We love our country. And we are here because we know the deep privilege and pride that comes with being an American and the duty that comes along with it, and the duty that comes along with it.",S015
40,"Imperfect though we may be, America is still that shining city upon a hill that inspires people around the world. And I do believe it is one of the highest forms of patriotism to fight for the ideals of our country. So should people from across Pennsylvania and across our nation, let us together stand up for the rule of law, for our democratic ideals, and for the constitution of the United States. And in 20 days, we have the power to chart a new way forward, one that is worthy of this magnificent country that we are all blessed to call home. Thank you all. May God bless you and may God bless the United States of America. Thank you.",S015
41,"We got to get to work. We got to get to work. So let me just say an obvious point. There’s a fundamental choice in this election, a very fundamental choice, a choice between the leadership that I pledge to offer to America, leadership that brings folks together that builds consensus and focuses on making life better for you with the knowledge that we have so much more in common than what separates us. And on the other hand, the choice of someone who I think we can guarantee will sit in the Oval Office plotting retribution, stew in his own grievances, and think only about himself and not you.",S015
